# retrieved: 2017-05-22 12:57:17 CST
#
# Data for the following station is contained in this file
# ---------------------------------------------------------
#  USGS 0214643820 EDWARDS BRANCH AT SHEFFIELD DR AT CHARLOTTE, NC
#
# This data file was retrieved from the USGS
# instantaneous data archive at
# http://ida.water.usgs.gov
#
# ---------------------WARNING---------------------
# The instantaneous data you have obtained from
# this automated U.S. Geological Survey database
# may or may not have been the basis for the published
# daily mean discharges for this station. Although
# automated filtering has been used to compare these
# data to the published daily mean values and to remove
# obviously bad data, there may still be significant
# error in individual values. Users are strongly
# encouraged to review all data carefully prior to use.
# These data are released on the condition that neither
# the USGS nor the United States Government may be held
# liable for any damages resulting from its use.
#
# This file consists of tab-separated columns of the
# following fields.
#
# column       column definition
# -----------  -----------------------------------------
# site_no      USGS site identification number
# date_time     date and time in format (YYYYMMDDhhmmss)
# tz_cd        time zone
# dd           internal USGS sensor designation (''data descriptor'')
# accuracy_cd  accuracy code
#                   0 - A daily mean discharge calculated from the instantaneous
#                       data on this day is 0.01 cubic feet per second
#                       or less and the published daily mean is zero.
#                   1 - A daily mean discharge calculated from the instantaneous
#                       data on this day matches the published daily mean
#                       within 1 percent.
#                   2 - A daily mean discharge calculated from the instantaneous
#                       data on this day matches the published daily mean
#                       from greater than 1 to 5 percent.
#                   3 - A daily mean discharge calculated from the instantaneous
#                       values on this day matches the published daily mean
#                       from greater than 5 to 10 percent.
#                   9 - The instantaneous value is considered correct by the
#                       collecting USGS Water Science Center. A published daily
#                       mean value does not exist and/or no comparison was made.
# value        discharge in cubic feet per second
# precision    digits of precision in the discharge
# remark       optional remark code
#                 Remark  Explanation
#                   <     Actual value is known to be less than reported value.
#                   >     Actual value is known to be greater than reported value.
#                   &     Value is affected by unspecified reasons.
#                   A     Value is affected by ice at the measurement site.
#                   B     Value is affected by backwater at the measurement site.
#                   e     Value has been estimated by USGS personnel.
#                   E     Value was computed from an estimated value.
#                   F     Value was modified due to automated filtering.
#                   K     Value is affected by instrument calibration drift.
#                   R     Rating is undefined for this value.
#
#
site_no	date_time	tz_cd	dd	accuracy_cd	value	prec	remark
15N	14N	6S	2N	5S	16N	1S	1S
0214643820	20051001000000	EDT	2	1	0.20	2	
0214643820	20051001001500	EDT	2	1	0.20	2	
0214643820	20051001003000	EDT	2	1	0.16	2	
0214643820	20051001004500	EDT	2	1	0.20	2	
0214643820	20051001010000	EDT	2	1	0.20	2	
0214643820	20051001010500	EDT	2	1	0.16	2	
0214643820	20051001011500	EDT	2	1	0.16	2	
0214643820	20051001013000	EDT	2	1	0.20	2	
0214643820	20051001014500	EDT	2	1	0.16	2	
0214643820	20051001020000	EDT	2	1	0.16	2	
0214643820	20051001021500	EDT	2	1	0.20	2	
0214643820	20051001023000	EDT	2	1	0.16	2	
0214643820	20051001024500	EDT	2	1	0.16	2	
0214643820	20051001030000	EDT	2	1	0.20	2	
0214643820	20051001031500	EDT	2	1	0.20	2	
0214643820	20051001033000	EDT	2	1	0.20	2	
0214643820	20051001034500	EDT	2	1	0.20	2	
0214643820	20051001040000	EDT	2	1	0.20	2	
0214643820	20051001041500	EDT	2	1	0.20	2	
0214643820	20051001043000	EDT	2	1	0.20	2	
0214643820	20051001044500	EDT	2	1	0.20	2	
0214643820	20051001050000	EDT	2	1	0.20	2	
0214643820	20051001051500	EDT	2	1	0.20	2	
0214643820	20051001053000	EDT	2	1	0.20	2	
0214643820	20051001054500	EDT	2	1	0.20	2	
0214643820	20051001060000	EDT	2	1	0.20	2	
0214643820	20051001061500	EDT	2	1	0.20	2	
0214643820	20051001063000	EDT	2	1	0.20	2	
0214643820	20051001064500	EDT	2	1	0.20	2	
0214643820	20051001070000	EDT	2	1	0.16	2	
0214643820	20051001071500	EDT	2	1	0.20	2	
0214643820	20051001073000	EDT	2	1	0.20	2	
0214643820	20051001074500	EDT	2	1	0.20	2	
0214643820	20051001080000	EDT	2	1	0.20	2	
0214643820	20051001081500	EDT	2	1	0.20	2	
0214643820	20051001083000	EDT	2	1	0.16	2	
0214643820	20051001084500	EDT	2	1	0.20	2	
0214643820	20051001090000	EDT	2	1	0.20	2	
0214643820	20051001091500	EDT	2	1	0.20	2	
