# retrieved: 2017-05-19 08:02:19 CST
#
# Data for the following station is contained in this file
# ---------------------------------------------------------
#  USGS 02146750 MCALPINE CR BELOW MCMULLEN CR NR PINEVILLE, NC
#
# This data file was retrieved from the USGS
# instantaneous data archive at
# http://ida.water.usgs.gov
#
# ---------------------WARNING---------------------
# The instantaneous data you have obtained from
# this automated U.S. Geological Survey database
# may or may not have been the basis for the published
# daily mean discharges for this station. Although
# automated filtering has been used to compare these
# data to the published daily mean values and to remove
# obviously bad data, there may still be significant
# error in individual values. Users are strongly
# encouraged to review all data carefully prior to use.
# These data are released on the condition that neither
# the USGS nor the United States Government may be held
# liable for any damages resulting from its use.
#
# This file consists of tab-separated columns of the
# following fields.
#
# column       column definition
# -----------  -----------------------------------------
# site_no      USGS site identification number
# date_time     date and time in format (YYYYMMDDhhmmss)
# tz_cd        time zone
# dd           internal USGS sensor designation (''data descriptor'')
# accuracy_cd  accuracy code
#                   0 - A daily mean discharge calculated from the instantaneous
#                       data on this day is 0.01 cubic feet per second
#                       or less and the published daily mean is zero.
#                   1 - A daily mean discharge calculated from the instantaneous
#                       data on this day matches the published daily mean
#                       within 1 percent.
#                   2 - A daily mean discharge calculated from the instantaneous
#                       data on this day matches the published daily mean
#                       from greater than 1 to 5 percent.
#                   3 - A daily mean discharge calculated from the instantaneous
#                       values on this day matches the published daily mean
#                       from greater than 5 to 10 percent.
#                   9 - The instantaneous value is considered correct by the
#                       collecting USGS Water Science Center. A published daily
#                       mean value does not exist and/or no comparison was made.
# value        discharge in cubic feet per second
# precision    digits of precision in the discharge
# remark       optional remark code
#                 Remark  Explanation
#                   <     Actual value is known to be less than reported value.
#                   >     Actual value is known to be greater than reported value.
#                   &     Value is affected by unspecified reasons.
#                   A     Value is affected by ice at the measurement site.
#                   B     Value is affected by backwater at the measurement site.
#                   e     Value has been estimated by USGS personnel.
#                   E     Value was computed from an estimated value.
#                   F     Value was modified due to automated filtering.
#                   K     Value is affected by instrument calibration drift.
#                   R     Rating is undefined for this value.
#
#
site_no	date_time	tz_cd	dd	accuracy_cd	value	prec	remark
15N	14N	6S	2N	5S	16N	1S	1S
02146750	19961001000000	EST	1	1	1090	3	
02146750	19961001000500	EST	1	1	1280	3	
02146750	19961001001000	EST	1	1	1290	3	
02146750	19961001001500	EST	1	1	1320	3	
02146750	19961001002000	EST	1	1	1330	3	
02146750	19961001002500	EST	1	1	1350	3	
02146750	19961001003000	EST	1	1	1370	3	
02146750	19961001003500	EST	1	1	1400	3	
02146750	19961001004000	EST	1	1	1420	3	
02146750	19961001004500	EST	1	1	1440	3	
02146750	19961001005000	EST	1	1	1470	3	
02146750	19961001005500	EST	1	1	1500	3	
02146750	19961001010000	EST	1	1	1520	3	
02146750	19961001010500	EST	1	1	1550	3	
02146750	19961001011000	EST	1	1	1570	3	
02146750	19961001011500	EST	1	1	1600	3	
02146750	19961001012000	EST	1	1	1620	3	
02146750	19961001012500	EST	1	1	1650	3	
02146750	19961001013000	EST	1	1	1680	3	
02146750	19961001013500	EST	1	1	1710	3	
02146750	19961001014000	EST	1	1	1750	3	
02146750	19961001014500	EST	1	1	1780	3	
02146750	19961001015000	EST	1	1	1820	3	
02146750	19961001015500	EST	1	1	1850	3	
02146750	19961001020000	EST	1	1	1890	3	
02146750	19961001020500	EST	1	1	1910	3	
02146750	19961001021000	EST	1	1	1930	3	
02146750	19961001021500	EST	1	1	1970	3	
02146750	19961001022000	EST	1	1	2030	3	
02146750	19961001022500	EST	1	1	2060	3	
02146750	19961001023000	EST	1	1	2100	3	
02146750	19961001023500	EST	1	1	2140	3	
02146750	19961001024000	EST	1	1	2170	3	
02146750	19961001024500	EST	1	1	2210	3	
02146750	19961001025000	EST	1	1	2250	3	
02146750	19961001025500	EST	1	1	2290	3	
02146750	19961001030000	EST	1	1	2320	3	
02146750	19961001030500	EST	1	1	2360	3	
02146750	19961001031000	EST	1	1	2390	3	
02146750	19961001031500	EST	1	1	2420	3	
02146750	19961001032000	EST	1	1	2450	3	
02146750	19961001032500	EST	1	1	2480	3	
02146750	19961001033000	EST	1	1	2510	3	
02146750	19961001033500	EST	1	1	2530	3	
02146750	19961001034000	EST	1	1	2570	3	
02146750	19961001034500	EST	1	1	2590	3	
02146750	19961001035000	EST	1	1	2630	3	
02146750	19961001035500	EST	1	1	2650	3	
02146750	19961001040000	EST	1	1	2680	3	
02146750	19961001040500	EST	1	1	2710	3	
02146750	19961001041000	EST	1	1	2740	3	
02146750	19961001041500	EST	1	1	2770	3	
02146750	19961001042000	EST	1	1	2790	3	
02146750	19961001042500	EST	1	1	2820	3	
02146750	19961001043000	EST	1	1	2840	3	
02146750	19961001043500	EST	1	1	2870	3	
02146750	19961001044000	EST	1	1	2890	3	
02146750	19961001044500	EST	1	1	2920	3	
02146750	19961001045000	EST	1	1	2940	3	
02146750	19961001045500	EST	1	1	2970	3	
02146750	19961001050000	EST	1	1	2990	3	
02146750	19961001050500	EST	1	1	3020	3	
02146750	19961001051000	EST	1	1	3040	3	
02146750	19961001051500	EST	1	1	3060	3	
02146750	19961001052000	EST	1	1	3080	3	
02146750	19961001052500	EST	1	1	3100	3	
02146750	19961001053000	EST	1	1	3120	3	
02146750	19961001053500	EST	1	1	3150	3	
02146750	19961001054000	EST	1	1	3160	3	
02146750	19961001054500	EST	1	1	3180	3	
02146750	19961001055000	EST	1	1	3200	3	
02146750	19961001055500	EST	1	1	3210	3	
02146750	19961001060000	EST	1	1	3230	3	
02146750	19961001060500	EST	1	1	3250	3	
02146750	19961001061000	EST	1	1	3250	3	
